,locationid,period_start,period_end,label,amount,qt_end
0,1002,2019-08-01,2019-08-31,2019-MS08,49439.81988754422,2019-09-30
1,1002,2019-09-01,2019-09-30,2019-MS09,97459.73899330382,2019-09-30
2,1002,2019-10-01,2019-10-31,2019-MS10,150014.56141884363,2019-12-31
3,1002,2019-11-01,2019-11-30,2019-MS11,34362.87703767136,2019-12-31
4,1002,2019-12-01,2019-12-31,2019-MS12,31736.95708216739,2019-12-31
5,1002,2020-01-01,2020-01-31,2020-MS01,44407.27781793969,2020-03-31
6,1002,2020-02-01,2020-02-29,2020-MS02,41165.41457736422,2020-03-31
7,1002,2020-03-01,2020-03-31,2020-MS03,40422.147727084535,2020-03-31
8,1002,2020-04-01,2020-04-30,2020-MS04,129055.45267063857,2020-06-30
9,1002,2020-05-01,2020-05-31,2020-MS05,167412.58311732076,2020-06-30
10,1002,2020-06-01,2020-06-30,2020-MS06,74863.19302418057,2020-06-30
11,1002,2020-07-01,2020-07-31,2020-MS07,45740.32492258277,2020-09-30
12,1002,2020-08-01,2020-08-31,2020-MS08,1241.8355710701555,2020-09-30
13,1002,2020-09-01,2020-09-30,2020-MS09,110.091788120738,2020-09-30
14,1002,2020-10-01,2020-10-31,2020-MS10,180.61587273877896,2020-12-31
15,1002,2020-11-01,2020-11-30,2020-MS11,,2020-12-31
16,1002,2020-12-01,2020-12-31,2020-MS12,157.36828804884965,2020-12-31
17,1002,2021-01-01,2021-01-31,2021-MS01,65.31113858654476,2021-03-31
18,1002,2021-03-01,2021-03-31,2021-MS03,254.1426038192317,2021-03-31
19,1002,2021-04-01,2021-04-30,2021-MS04,490.8996951683919,2021-06-30
20,1002,2021-06-01,2021-06-30,2021-MS06,417.7184471467209,2021-06-30
21,1002,2021-07-01,2021-07-31,2021-MS07,50.637995686770566,2021-09-30
22,1002,2021-09-01,2021-09-30,2021-MS09,381.48728680724287,2021-09-30
23,1002,2021-10-01,2021-10-31,2021-MS10,722.4458065171649,2021-12-31
24,1002,2021-11-01,2021-11-30,2021-MS11,214.4761542058423,2021-12-31
25,1002,2021-12-01,2021-12-31,2021-MS12,369.6399635187983,2021-12-31
26,1002,2022-03-01,2022-03-31,2022-MS03,181.87759473660665,2022-03-31
27,1002,2022-09-01,2022-09-30,2022-MS09,888.1878183671063,2022-09-30
28,1002,2022-10-01,2022-10-31,2022-MS10,1841.396731108896,2022-12-31
29,1002,2022-11-01,2022-11-30,2022-MS11,142.1785508358729,2022-12-31
30,1002,2023-02-01,2023-02-28,2023-MS02,283.86734989398565,2023-03-31
31,1002,2023-03-01,2023-03-31,2023-MS03,93.1933379380418,2023-03-31
32,1002,2023-07-01,2023-07-31,2023-MS07,277.1506077952651,2023-09-30
33,1002,2023-08-01,2023-08-31,2023-MS08,72.2528684202191,2023-09-30
34,1002,2023-11-01,2023-11-30,2023-MS11,2.576452311507352,2023-12-31
